brand, ratings, num_of_reviews, product_name, price
MSI, rating-5, 31, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card, 249.99
EVGA, rating-4, 26, EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate, 299.99
ASUS, rating-3, 65, ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card, 459.99
MSI, rating-4, 22, MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card, 339.99
Sapphire Tech, rating-5, 27, SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL Video Card, 289.99
MSI, rating-5, 7, MSI Radeon RX 570 DirectX 12 RX 570 8GT OC Video Card, 134.99
ASUS, No rating, No reviews, ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition Graphics Card (DUAL-RTX2060-O6G-EVO), 349.99
ASRock, rating-4, 65, ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G Video Card, 119.99
EVGA, rating-4, 11, EVGA GeForce RTX 2080 Ti XC HYBRID GAMING| 11G-P4-2384-KR| 11GB GDDR6| HYBRID| RGB LED Logo| Metal Backplate, 1399.99
EVGA, rating-4, 17, EVGA GeForce GTX 1660 Ti XC Black GAMING| 06G-P4-1261-KR| 6GB GDDR6| HDB Fan, 279.99
EVGA, rating-4, 8, EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR, 369.99
EVGA, rating-5, 28, EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans, 359.99
GIGABYTE, rating-3, 43, GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G Video Card, 289.99
EVGA, rating-5, 10, EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING| 08G-P4-3188-KR| 8GB GDDR6| RGB LED Logo| Metal Backplate, 789.99
ASRock, rating-3, 2, ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO Video Card, 179.99
ASRock, rating-4, 35, ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card, 439.99
MSI, rating-3, 40, MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC Video Card, 379.99
EVGA, No rating, No reviews, EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6| 04G-P4-1257-KR| 4GB GDDR6| Dual Fan| Metal Backplate, 179.99
MSI, rating-4, 14, MSI Radeon RX 5700 DirectX 12 RX 5700 MECH OC Video Card, 329.99
EVGA, rating-4, 40, EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED, 1499.99
ASUS, rating-2, 34, ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G Video Card, 1179.99
EVGA, rating-4, 7, EVGA GeForce RTX 2080 Ti XC GAMING| 11G-P4-2382-KR| 11GB GDDR6| Dual HDB Fans & RGB LED, 1229.99
Sapphire Tech, rating-4, 118, Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL, 189.99
ASRock, rating-4, 43, ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC Video Card, 139.99
GIGABYTE, rating-4, 81, GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| GV-N207SWF3OC-8GD, 499.99
EVGA, rating-4, 45, EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate, 319.99
GIGABYTE, rating-4, 31, GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 Video Card, 119.99
XFX, rating-4, 18, XFX Radeon RX 580 DirectX 12 RX-580P8RFD6 Video Card, 189.99
ASRock, rating-4, 41, ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G Video Card, 259.99
MSI, rating-5, 14, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X Video Card, 269.99
EVGA, rating-4, 27, EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6, Price not available
EVGA, rating-5, 20, EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING| 06G-P4-1068-KR| 6GB GDDR6| Dual Fan| Metal Backplate, Price not available
